Company,LTP (₹),1D Return %,Market Cap (Cr),52W High / Low (₹),Volume
Container Corporation Of India Ltd.,921.70,+0.37,"56,159","1,180.00/672.20","12,05,512"
IDFC First Bank Ltd.,73.44,-1.22,"54,953",95.65/70.43,"2,00,08,192"
Au Small Finance Bank Ltd.,732.70,-1.01,"54,479",813.40/553.70,"14,30,628"
Procter & Gamble Hygiene & Healthcare Ltd.,"16,730.05",+0.33,"54,307","19,250.00/15,345.40","3,828"
Astral Ltd.,"1,974.50",-0.76,"53,040","2,454.00/1,740.00","5,58,479"
BSE Ltd.,"3,858.90",+4.73,"52,240","4,200.00/1,252.65","36,32,990"
Petronet LNG Ltd.,344.10,+0.75,"51,615",384.20/191.70,"34,08,665"
SJVN Ltd.,130.84,-1.26,"51,417",170.50/63.40,"71,61,741"
Lloyds Metals & Energy Ltd.,980.75,+3.42,"51,269",985.00/492.00,"6,60,388"
Central Bank Of India,58.65,-0.31,"50,914",76.90/40.85,"22,99,657"
Coromandel International Ltd.,"1,728.00",+3.19,"50,895","1,789.00/1,019.05","5,36,936"
Bank Of India,110.89,+0.26,"50,485",157.95/86.40,"35,41,577"
Premier Energies Ltd.,"1,109.35",+2.44,"50,007","1,267.95/450.00","38,81,983"
Tata Elxsi Ltd.,"7,765.25",+0.53,"48,362","9,200.00/6,411.20","90,103"
Federal Bank Ltd.,197.12,+0.20,"48,338",206.59/137.25,"1,62,06,968"
Page Industries Ltd.,"42,714.25",-0.44,"47,643","44,100.00/33,070.05","16,016"
Coforge Ltd.,"7,126.45",+1.57,"47,529","7,149.00/4,287.25","4,73,715"
Gujarat Fluorochemicals Ltd.,"4,319.70",+1.09,"47,452","4,510.50/2,476.00","1,04,945"
Housing And Urban Development Corporation Ltd.,235.94,-2.42,"47,233",353.70/70.50,"48,72,035"
ACC Ltd.,"2,511.00",-0.10,"47,153","2,844.00/1,803.00","1,87,093"
Glenmark Pharmaceuticals Ltd.,"1,666.95",-0.39,"47,039","1,769.60/722.10","6,52,450"
L&T Finance Ltd.,188.12,+1.24,"46,893",194.25/126.60,"71,22,957"
UPL Ltd.,621.20,+1.31,"46,628",634.90/447.80,"23,17,620"
One97 Communications Ltd.,731.35,+6.25,"46,561",998.30/310.00,"2,10,39,195"
Escorts Kubota Ltd.,"4,209.20",-1.40,"46,511","4,420.00/2,648.40","2,62,102"
Fortis Healthcare Ltd.,615.85,+0.12,"46,494",628.50/313.80,"13,45,716"
GlaxoSmithKline Pharmaceuticals Ltd.,"2,735.35",-0.55,"46,338","3,088.00/1,385.05","42,937"
KPIT Technologies Ltd.,"1,672.50",+2.73,"45,851","1,928.70/1,091.20","5,81,017"
Sona BLW Precision Forgings Ltd.,731.05,-1.66,"45,417",768.65/488.10,"13,44,430"
Adani Wilmar Ltd.,349.10,+0.23,"45,372",410.50/285.80,"15,27,163"
Ola Electric Mobility Ltd.,102.62,+3.01,"45,264",157.40/76.00,"6,12,27,119"
APL Apollo Tubes Ltd.,"1,621.60",+2.36,"45,003","1,788.35/1,305.00","8,78,640"
Cochin Shipyard Ltd.,"1,705.50",-2.00,"44,868","2,979.45/435.60","2,99,624"
Biocon Ltd.,370.65,+2.08,"44,500",395.80/217.50,"21,95,117"
Motilal Oswal Financial Services Ltd.,742.80,-2.53,"44,462",828.85/216.30,"16,28,008"
Tata Technologies Ltd.,"1,094.25",-0.81,"44,390","1,400.00/500.00","9,93,851"
Honeywell Automation India Ltd.,"49,351.65",+0.76,"43,634","59,994.00/34,977.70","7,278"
Exide Industries Ltd.,511.55,+1.79,"43,482",620.35/241.70,"65,85,977"
Jubilant Foodworks Ltd.,658.80,-3.39,"43,471",715.45/421.05,"35,00,039"
Nippon Life India Asset Management Ltd.,685.25,+5.17,"43,392",739.45/318.00,"10,83,315"
GE T&D India Ltd.,"1,685.95",+0.29,"43,168","1,889.90/349.00","1,58,962"
Bank Of Maharashtra,59.88,-0.68,"42,403",73.50/38.65,"1,19,55,842"
Gujarat Gas Ltd.,615.30,-0.50,"42,357",689.95/397.05,"11,54,310"
Bharat Dynamics Ltd.,"1,127.20",-2.83,"41,319","1,794.70/450.00","6,88,191"
National Aluminium Company Ltd.,224.23,+6.63,"41,183",227.39/88.60,"7,06,53,372"
AIA Engineering Ltd.,"4,351.65",+0.35,"41,045","4,949.95/3,340.05","17,573"
Max Financial Services Ltd.,"1,185.75",-0.44,"40,922","1,212.85/854.25","4,10,506"
Mahindra & Mahindra Financial Services Ltd.,330.10,-2.44,"40,785",343.00/237.35,"52,74,521"
Ajanta Pharma Ltd.,"3,253.60",+1.62,"40,641","3,485.00/1,650.05","76,680"
Blue Star Ltd.,"2,095.85",+1.56,"40,372","2,199.55/814.00","3,94,845"
Deepak Nitrite Ltd.,"2,956.90",+1.71,"40,330","3,169.00/1,921.85","4,13,474"
Godrej Industries Ltd.,"1,192.15",-3.51,"40,146","1,314.00/568.10","1,98,222"
NLC India Ltd.,289.10,+2.34,"40,088",311.80/116.80,"40,32,291"
Cholamandalam Financial Holdings Ltd.,"2,100.15",+2.76,"39,436","2,154.95/961.10","6,13,703"
Indraprastha Gas Ltd.,558.40,-0.03,"39,088",570.35/375.70,"37,44,429"
KEI Industries Ltd.,"4,317.05",+0.46,"38,978","5,039.70/2,321.10","1,68,408"
Apar Industries Ltd.,"9,671.80",+1.50,"38,850","10,624.80/4,545.65","1,30,755"
3M India Ltd.,"34,430.05",+1.76,"38,786","40,856.50/28,498.95","3,731"
The New India Assurance Company Ltd.,231.90,+0.63,"38,217",324.70/130.10,"5,89,380"
Ipca Laboratories Ltd.,"1,491.40",-0.45,"37,837","1,519.85/917.00","1,28,841"
Aditya Birla Fashion And Retail Ltd.,352.35,+0.90,"37,742",364.40/198.75,"35,01,076"
Punjab & Sind Bank,54.77,-0.81,"37,122",77.50/36.55,"8,54,593"
IRB Infrastructure Developers Ltd.,61.32,+0.43,"37,031",78.15/30.40,"1,13,62,022"
360 One Wam Ltd.,"1,014.05",-2.46,"36,983","1,215.00/487.55","4,68,834"
